#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
387757:10314,11/05/24 00:05:13,100,100,0.460557195,0.452875143
387828:10321,11/05/24 23:41:24,77,77,0.077682155,0.077355602
387832:10322,11/06/24 01:48:48,41,41,0.041428267,0.041263694
387853:10329,11/06/24 10:09:04,77,77,0.578178987,0.527282600
387854:10329,11/06/24 10:42:32,105,105,0.732036676,0.462995519
387855:10329,11/06/24 11:26:24,110,110,0.610614384,0.461296352
387856:10329,11/06/24 12:12:41,27,27,0.129005558,0.109735534
387867:10330,11/06/24 14:47:29,52,52,1.427537618,1.313685661
387878:10331,11/06/24 18:48:05,261,261,6.225542580,6.055995823
387879:10331,11/06/24 20:33:31,116,116,1.806747213,1.668281325
387886:10333,11/07/24 02:23:39,203,203,4.310383498,4.085826897
387887:10333,11/07/24 03:52:33,124,124,1.804761447,1.734090497
387892:10334,11/07/24 06:34:43,499,499,12.424886708,12.033694424
387907:10335,11/07/24 11:50:40,166,166,7.992475769,7.638738237
387908:10335,11/07/24 13:01:03,130,130,4.460542623,4.184493924
387926:10336,11/07/24 19:41:13,207,207,2.011639301,1.955532295
387939:10338,11/08/24 03:16:25,1178,1178,1.544531666,1.501152761
387940:10338,11/08/24 10:57:45,55,55,0.028500947,0.027845764
387941:10338,11/08/24 11:20:43,56,56,0.026640834,0.025426671
387942:10338,11/08/24 11:46:12,57,57,0.018724253,0.018544649
387943:10338,11/08/24 12:10:34,105,105,0.094547622,0.092910035
387944:10338,11/08/24 12:54:21,26,26,0.376173739,0.339732306
387963:10341,11/08/24 19:50:08,129,129,2.076451057,1.885106845
387964:10341,11/08/24 20:43:21,75,75,0.654102100,0.589313290
387965:10341,11/08/24 21:15:24,47,47,0.407527862,0.364967257
387966:10341,11/08/24 21:36:39,186,186,1.393079894,1.358920765
387967:10341,11/08/24 22:52:02,158,158,1.174049864,1.155664409
387968:10341,11/08/24 23:55:52,137,137,0.902893823,0.880262657
387969:10341,11/09/24 00:51:56,174,174,0.940552335,0.905123546
387973:10342,11/09/24 05:04:05,380,380,22.367432917,21.497384462
387981:10343,11/09/24 10:53:13,3,3,0.147782619,0.112183662
387982:10343,11/09/24 10:57:32,72,72,3.449859636,3.287412642
387985:10343,11/09/24 12:08:54,432,432,9.862423885,9.705387455
387998:10344,11/09/24 19:10:23,63,63,6.242121711,5.101616335
387999:10344,11/09/24 19:46:13,144,144,11.091044269,8.503760090
388000:10344,11/09/24 20:47:08,306,306,15.047169060,14.445863001
388004:10345,11/10/24 01:09:03,112,112,14.098612238,12.851826166
388005:10345,11/10/24 02:05:11,263,263,25.231050311,24.026749943
388006:10345,11/10/24 03:56:53,609,609,29.647604194,28.762581409
388020:10346,11/10/24 10:53:27,161,161,20.510719742,19.237996999
388021:10346,11/10/24 12:06:45,385,385,29.812017706,27.925099274
388033:10347,11/10/24 17:32:09,2,2,0.000015986,0.000015930
388037:10348,11/10/24 21:13:31,205,205,16.472068977,15.554214605
388038:10348,11/10/24 22:48:59,193,193,11.774542922,10.964157830
388039:10348,11/11/24 00:06:33,336,336,14.364621168,13.798733999
388047:10349,11/11/24 05:08:52,1,1,0.000008781,0.000008749
388048:10349,11/11/24 05:12:34,39,39,4.871662723,4.210888697
388049:10349,11/11/24 05:31:05,23,23,2.869720713,2.407965954
388050:10349,11/11/24 05:42:25,29,29,3.346089429,2.969497375
388056:10350,11/11/24 08:46:08,353,353,35.516179166,33.996154373
388087:10354,11/11/24 18:41:26,10,10,0.161253865,0.159410179
388090:10355,11/11/24 21:43:51,219,219,22.227745386,20.746714166
388091:10355,11/11/24 23:17:55,109,109,7.916556496,7.511326571
388092:10355,11/12/24 00:03:14,185,185,8.038037152,7.605297996
388095:10356,11/12/24 06:38:25,717,717,51.850766146,49.014424521
388096:10356,11/12/24 11:31:48,152,152,5.264794570,5.026912905
388121:10358,11/12/24 16:27:33,93,93,11.980218174,11.109539027
388122:10358,11/12/24 17:12:56,173,173,23.359428323,22.039221583
388168:10361,11/13/24 19:10:17,295,295,34.337374793,32.621600067
388170:10361,11/13/24 21:15:45,138,138,10.778657456,10.213506112
388171:10361,11/13/24 22:12:10,161,161,9.807469690,9.288693982
388192:10362,11/14/24 04:06:44,176,176,13.657507854,12.939811040
388305:10374,11/15/24 01:27:06,109,109,14.132958977,13.225140440
388306:10374,11/15/24 02:22:35,211,211,21.616380799,20.738674613
388316:10374,11/15/24 04:37:58,88,88,5.379107031,5.132385799
388317:10374,11/15/24 05:14:41,522,522,21.177159007,20.194126506
388349:10375,11/15/24 11:46:12,20,20,1.241059725,1.081024516
388350:10375,11/15/24 12:08:51,254,254,34.191829604,32.735390719
388353:10375,11/15/24 13:58:53,710,710,41.352582276,39.316648620
388362:10376,11/15/24 21:06:42,43,43,4.179603876,3.785390288
388368:10377,11/16/24 00:30:40,59,59,7.444765650,6.808221113
388369:10377,11/16/24 01:03:55,259,259,35.870250142,33.536555724
388390:10377,11/16/24 04:59:04,451,451,20.595763274,19.589390592
388401:10378,11/16/24 10:28:11,534,534,54.222562322,51.194505069
388402:10378,11/16/24 15:34:19,277,277,12.297306953,11.744026690
388418:10379,11/16/24 19:42:55,43,43,4.447977485,4.029596912
388419:10379,11/16/24 20:10:00,946,946,74.978102370,71.230764971
388425:10380,11/17/24 05:52:01,475,475,44.519223346,42.152890572
388450:10381,11/17/24 13:00:40,425,425,50.655057482,48.174011237
388468:10382,11/17/24 18:49:54,1100,1100,86.437152959,82.738476417
388475:10383,11/18/24 04:55:17,191,191,26.143290838,24.587070288
388476:10383,11/18/24 06:16:30,398,398,43.096397348,41.197103994
388545:10385,11/18/24 18:32:15,240,240,0.183015239,0.181966756
388546:10385,11/18/24 20:08:00,53,53,0.031258248,0.031130387
388550:10386,11/18/24 22:44:23,24,24,0.015587333,0.015517942
388556:10387,11/19/24 04:24:35,39,39,2.873149172,2.500137008
388557:10387,11/19/24 05:02:41,304,302,15.640602042,15.352616352
388570:10388,11/19/24 09:36:07,1,1,0.000006609,0.000006600
388571:10388,11/19/24 09:43:17,3,3,0.000024489,0.000019010
388573:10388,11/19/24 09:53:23,8,8,1.976234880,1.749845590
388574:10388,11/19/24 10:00:17,103,103,15.101860789,14.207916792
388575:10388,11/19/24 10:42:41,78,78,11.415291312,10.198706496
388576:10388,11/19/24 11:15:53,55,55,8.029332102,7.139944974
388577:10388,11/19/24 11:39:30,87,87,11.222950335,10.206516403
388578:10388,11/19/24 12:15:40,52,52,5.690621629,5.062397166
388579:10388,11/19/24 12:37:48,89,89,8.396815020,7.617986582
388580:10388,11/19/24 13:14:22,74,74,5.905328260,5.374636720
388582:10388,11/19/24 13:53:25,54,54,3.700773834,3.471722685
388583:10388,11/19/24 14:23:11,149,149,8.585046795,8.148095689
388613:10391,11/19/24 20:14:41,90,90,11.058023839,10.481847639
388620:10392,11/19/24 23:29:45,182,182,24.492731707,21.797070212
388621:10392,11/20/24 00:51:00,11,11,1.608918694,1.185620950
388622:10392,11/20/24 00:58:28,363,363,40.331512594,38.364508265
388624:10392,11/20/24 03:28:55,21,21,1.554761155,1.456022536
388702:10396,11/20/24 21:13:57,22,22,0.014998713,0.013873631
388704:10396,11/20/24 21:29:32,74,74,0.088309428,0.087694544
388705:10396,11/20/24 22:05:43,77,77,0.068194919,0.067906770
388710:10397,11/21/24 01:19:31,77,77,9.024061356,8.353842951
388711:10397,11/21/24 01:59:31,147,147,21.536972626,20.045794079
388713:10397,11/21/24 03:00:59,895,895,63.261236680,59.974388234
388733:10398,11/21/24 15:06:20,138,138,17.853856153,15.859476391
388734:10398,11/21/24 16:11:26,9,9,1.319257062,1.239901149
388735:10398,11/21/24 16:17:12,70,70,10.230860185,9.302743650
388736:10398,11/21/24 16:48:40,5,5,0.725485142,0.625224360
388737:10398,11/21/24 16:52:33,167,167,20.989707960,18.572135756
388738:10398,11/21/24 17:59:29,2,2,0.205770259,0.166348810
388739:10398,11/21/24 18:03:33,38,38,3.691631749,3.362225740
388740:10398,11/21/24 18:21:44,27,27,2.416071229,2.089334020
388741:10398,11/21/24 18:34:05,400,400,25.166745173,22.512109182
388742:10398,11/21/24 21:11:12,45,45,1.995715390,1.754345488
388743:10398,11/21/24 21:34:04,9,9,0.377938512,0.367971625
388744:10398,11/21/24 21:40:28,1,1,0.041397483,0.002764389
388745:10398,11/21/24 21:44:06,45,45,1.790542554,1.669135777
388750:10400,11/22/24 02:41:14,969,969,92.788217716,88.211289409
388768:10401,11/22/24 12:37:45,65,65,6.924280962,6.599259478
388769:10401,11/22/24 13:43:35,420,420,49.009120841,46.485003697
388780:10402,11/22/24 20:32:57,7,7,0.000058426,0.000058260
388784:10404,11/23/24 02:02:48,525,525,59.544775198,56.644830043
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/ub),totrecorded(/ub)
#50,128,24646,24644,1701.691937288,1601.327356848
#Check JSON:
#(run,ls) in json but not in results: [(387882, 1), (387882, 10), (387907, 6), (387926, 10), (387939, 17), (387963, 1), (387963, 3), (387969, 175), (387973, 9), (387973, 30), (388317, 524), (388425, 488), (388425, 489), (388557, 147), (388557, 282)]
